DATE,DPCERL1A225NBEA
1930-01-01,-5.4
1931-01-01,-3.1
1932-01-01,-9
1933-01-01,-2.2
1934-01-01,7.1
1935-01-01,6.1
1936-01-01,10.2
1937-01-01,3.7
1938-01-01,-1.6
1939-01-01,5.6
1940-01-01,5.2
1941-01-01,7.1
1942-01-01,-2.4
1943-01-01,2.8
1944-01-01,2.8
1945-01-01,6.2
1946-01-01,12.4
1947-01-01,1.9
1948-01-01,2.3
1949-01-01,2.8
1950-01-01,6.4
1951-01-01,1.6
1952-01-01,3.2
1953-01-01,4.7
1954-01-01,2.1
1955-01-01,7.4
1956-01-01,2.9
1957-01-01,2.5
1958-01-01,0.9
1959-01-01,5.7
1960-01-01,2.7
1961-01-01,2.1
1962-01-01,4.9
1963-01-01,4.1
1964-01-01,6
1965-01-01,6.3
1966-01-01,5.7
1967-01-01,3
1968-01-01,5.8
1969-01-01,3.7
1970-01-01,2.4
1971-01-01,3.8
1972-01-01,6.1
1973-01-01,5
1974-01-01,-0.8
1975-01-01,2.3
1976-01-01,5.6
1977-01-01,4.2
1978-01-01,4.4
1979-01-01,2.4
1980-01-01,-0.3
1981-01-01,1.4
1982-01-01,1.5
1983-01-01,5.7
1984-01-01,5.3
1985-01-01,5.2
1986-01-01,4.1
1987-01-01,3.4
1988-01-01,4.2
1989-01-01,2.9
1990-01-01,2.0
1991-01-01,0.2
1992-01-01,3.7
1993-01-01,3.5
1994-01-01,3.9
1995-01-01,2.9
1996-01-01,3.5
1997-01-01,3.8
1998-01-01,5.3
1999-01-01,5.3
2000-01-01,5.1
2001-01-01,2.5
2002-01-01,2.6
2003-01-01,3.2
2004-01-01,3.8
2005-01-01,3.6
2006-01-01,3.1
2007-01-01,2.2
2008-01-01,-0.2
2009-01-01,-1.3
2010-01-01,1.7
2011-01-01,1.9
2012-01-01,1.5
2013-01-01,1.5
2014-01-01,2.9
2015-01-01,3.7
2016-01-01,2.7
2017-01-01,2.5
2018-01-01,2.6
