,Year,Incumbent Party Candidate,Other Candidate,Incumbent Party Vote Share,Aircraft,Air defence systems,Armoured vehicles,Artillery,Engines,Missiles,Naval weapons,Other,Sensors,Ships,,Total
0,1952,Stevenson,Eisenhower,44.6,5088.0,,632.0,289.0,,,,,33.0,394.0,,6436.0
1,1956,Eisenhower,Stevenson,57.76,5429.0,312.0,994.0,522.0,82.0,51.0,27.0,,231.0,734.0,,8382.0
2,1960,Nixon,Kennedy,49.91,2552.0,1144.0,533.0,202.0,100.0,517.0,64.0,,143.0,801.0,,6055.0
3,1964,Johnson,Goldwater,61.34,8827.0,1110.0,696.0,212.0,51.0,729.0,207.0,,100.0,304.0,,12235.0
4,1968,Humphrey,Nixon,49.6,5283.0,289.0,576.0,470.0,79.0,1229.0,23.0,,104.0,394.0,,8447.0
5,1972,Nixon,McGovern,61.79,7095.0,134.0,972.0,289.0,270.0,500.0,80.0,20.0,74.0,1352.0,,10787.0
6,1976,Ford,Carter,48.95,10803.0,1293.0,982.0,277.0,189.0,1159.0,79.0,,176.0,704.0,,15662.0
7,1980,Carter,Reagan,44.7,5776.0,1219.0,420.0,142.0,218.0,1472.0,43.0,,356.0,1083.0,,10730.0
8,1984,Reagan,Mondale,59.17,7341.0,304.0,1180.0,442.0,276.0,1231.0,34.0,67.0,498.0,514.0,,11887.0
9,1988,"Bush, Sr.",Dukakis,53.94,7567.0,426.0,624.0,152.0,255.0,1400.0,65.0,,685.0,701.0,,11875.0
10,1992,"Bush, Sr.",Clinton,46.55,8801.0,319.0,1604.0,317.0,204.0,1305.0,69.0,20.0,370.0,1102.0,,14111.0
11,1996,Clinton,Dole,54.74,4951.0,573.0,1818.0,147.0,318.0,1897.0,96.0,169.0,358.0,543.0,,10869.0
12,2000,Gore,"Bush, Jr.",50.27,4572.0,162.0,312.0,77.0,299.0,1172.0,25.0,108.0,288.0,561.0,,7576.0
13,2004,"Bush, Jr.",Kerry,51.24,4016.0,118.0,623.0,81.0,253.0,820.0,137.0,55.0,414.0,327.0,,6845.0
14,2008,McCain,Obama,46.32,4092.0,264.0,713.0,17.0,471.0,707.0,133.0,15.0,389.0,,,6800.0
15,2012,Obama,Romney,52.0,5693.0,234.0,890.0,88.0,353.0,997.0,96.0,54.0,525.0,156.0,,9086.0
16,2016,Clinton,Trump,48.2,4724.0,853.0,1573.0,52.0,439.0,2065.0,11.0,,167.0,72.0,,9955.0
